model_idx,sub_idx,configured_Cs,configured_BP,estimated_Cs,estimated_BP,configured_mean_samples
17,6,-3.375,40,-10.8741198600938,-16.7447140421197,7.31
17,7,-3.375,40,-5.38137042520459,32.0065252937403,7.31
17,8,-3.375,40,-4.08617464552285,29.4639018852839,7.31
17,9,-3.375,40,-2.81466974569166,61.6387930647339,7.31
17,10,-3.375,40,-5.4724626182204,25.2745934011422,7.31
17,11,-3.375,40,-4.41463258992954,29.2449903848561,7.31
17,12,-3.375,40,-8.08671441005744,23.591466621272,7.31
17,13,-3.375,40,5.75795072315411,99.9763626835203,7.31
17,14,-3.375,40,-15.6237270372735,6.53639742059877,7.31
17,15,-3.375,40,-8.81314912814398,-9.45741801484749,7.31
17,16,-3.375,40,-5.39197728288076,18.1675478611127,7.31
17,17,-3.375,40,0.112610153157505,54.8711086043293,7.31
17,18,-3.375,40,-1.4772696639003,75.7969363915586,7.31
17,19,-3.375,40,-3.1206984295704,41.4035456022483,7.31
17,20,-3.375,40,2.66427859877321,98.7382933265184,7.31
18,1,-1.25,40,3.6308606946875,72.7446690709954,6.86
18,2,-1.25,40,-2.16470868079716,15.6934899434279,6.86
18,3,-1.25,40,-9.33911096667914,-0.526401614757944,6.86
18,4,-1.25,40,-3.70657915576544,28.8025204948673,6.86
18,5,-1.25,40,-4.22848567967036,31.3514696800215,6.86
18,6,-1.25,40,0.651958255976794,56.4140607220841,6.86
18,7,-1.25,40,-6.24363913103714,-4.60678219942827,6.86
18,8,-1.25,40,-4.08617464552285,29.4639018852839,6.86
18,9,-1.25,40,-6.04300357783774,7.69154588729137,6.86
18,10,-1.25,40,-5.4724626182204,25.2745934011422,6.86
18,11,-1.25,40,-4.41463258992954,29.2449903848561,6.86
18,12,-1.25,40,1.52459136576368,72.9790774285583,6.86
18,13,-1.25,40,5.75795072315411,99.9763626835203,6.86
18,14,-1.25,40,-15.6237270372735,6.53639742059877,6.86
18,15,-1.25,40,-4.12162298531567,11.8250684596943,6.86
18,16,-1.25,40,-0.765138979731148,32.4560885859032,6.86
18,17,-1.25,40,-1.9229662903581,31.7367187557557,6.86
18,18,-1.25,40,-4.18465338216424,12.6410043203925,6.86
18,19,-1.25,40,-1.52792455935757,20.5223196007991,6.86
18,20,-1.25,40,-2.11623879565059,31.5410053718541,6.86
19,1,0.875,40,3.6308606946875,72.7446690709954,6.31
19,2,0.875,40,-2.16470868079716,15.6934899434279,6.31
19,3,0.875,40,-1.53550046145318,23.3221466049832,6.31
19,4,0.875,40,3.36460148877478,52.7228863634693,6.31
19,5,0.875,40,-7.92642560414811,-31.9221961792894,6.31
19,6,0.875,40,-1.11713280502313,14.5524187892644,6.31
19,7,0.875,40,-6.24363913103714,-4.60678219942827,6.31
19,8,0.875,40,0.251588208365149,33.5548312913438,6.31
19,9,0.875,40,-0.243577428273639,28.5763669115736,6.31
19,10,0.875,40,0.595627301316014,32.9966895725027,6.31
19,11,0.875,40,-0.585842307155175,35.4494767658769,6.31
19,12,0.875,40,-3.25157831163902,2.94915807460576,6.31
19,13,0.875,40,-4.05495260023295,12.3904207051065,6.31
19,14,0.875,40,-0.497583618004199,37.0842569698881,6.31
