BestFitModel,Source,Position,ValueBin,Success,Trials,PropStop
Biased-prior,Winning model,2,1,0.85027406204299,22,0.0386488210019541
Biased-prior,Winning model,2,2,4.58553425002224,61,0.0751726926233155
Biased-prior,Winning model,2,3,9.07287567806448,110,0.0824806879824043
Biased-prior,Winning model,2,4,15.7503577155405,171,0.0921073550616403
Biased-prior,Winning model,2,5,17.4893851764484,151,0.115823742890387
Biased-prior,Winning model,2,6,17.9114238887968,124,0.144446966845136
Biased-prior,Winning model,2,7,16.0145159934376,109,0.146922165077409
Biased-prior,Winning model,2,8,16.380542848182,90,0.182006031646467
Biased-prior,Winning model,2,9,13.4014338359853,59,0.227142946372632
Biased-prior,Winning model,2,10,18.0139542717075,71,0.253717665798697
Biased-prior,Winning model,2,11,12.0682338164544,40,0.30170584541136
Biased-prior,Winning model,2,12,6.45502113238248,15,0.430334742158832
Biased-prior,Winning model,3,1,0.911103150176097,17,0.0535943029515351
Biased-prior,Winning model,3,2,2.12320441335411,39,0.0544411388039517
Biased-prior,Winning model,3,3,8.6625289112838,107,0.0809582141241476
Biased-prior,Winning model,3,4,17.0651954768606,150,0.113767969845737
Biased-prior,Winning model,3,5,14.3443673898364,126,0.113844185633622
Biased-prior,Winning model,3,6,14.2834416122007,102,0.140033741296085
Biased-prior,Winning model,3,7,21.2319576100781,119,0.178419811849395
Biased-prior,Winning model,3,8,17.0218043774411,75,0.226957391699215
Biased-prior,Winning model,3,9,18.1808925695944,72,0.252512396799922
Biased-prior,Winning model,3,10,15.1406293761363,52,0.291165949541083
Biased-prior,Winning model,3,11,11.5101557311687,31,0.371295346166731
Biased-prior,Winning model,3,12,6.39105518125177,14,0.456503941517984
Biased-prior,Winning model,4,1,0.807828988707445,21,0.0384680470813069
Biased-prior,Winning model,4,2,3.03727390229266,53,0.0573070547602388
Biased-prior,Winning model,4,3,5.56345943820417,80,0.0695432429775521
Biased-prior,Winning model,4,4,13.3516114488656,120,0.111263428740546
Biased-prior,Winning model,4,5,17.2509154599166,136,0.126844966617034
