Subject,Model,BestFitModel,MeanLinearSlope,MeanLinearR2,MeanQuadTerm,MeanQuadR2,MeanDeltaBIC_QuadMinusLinear,NSequencesLinear,NSequencesQuadratic
56,Biased-prior,Biased-prior,-0.00659625068541915,0.450083781798253,-0.0110224080575231,0.892514744900507,-16.862492949868,35,32
56,Cost-to-sample,Biased-prior,-0.141547180616139,0.98405012781022,-0.0106870159321425,0.995946888540933,-15.3885501820666,35,32
57,Biased-prior,Biased-prior,0.0168235348773242,0.96426006170528,0.00126686161105951,0.984284300000495,-5.75480407584343,9,8
57,Cost-to-sample,Biased-prior,-0.0775775046260731,0.975088135935398,-0.00719866282351007,0.996068482226452,-13.1044316015917,9,8
58,Biased-prior,Cost-to-sample,-0.0587867826479808,0.913155754690956,-0.0108719545565008,0.981240540721009,-13.3284214552333,4,4
58,Cost-to-sample,Cost-to-sample,0.00376829603693425,0.479853734221233,0.00211464639032663,0.790982729399798,-2.38052442040634,4,4
59,Biased-prior,Biased-prior,0.00739883467003123,0.526855859154781,-0.00483457317515426,0.794094994939832,-6.58620542508855,35,32
59,Cost-to-sample,Biased-prior,-0.154474463681794,0.989205594244794,-0.00919980911870313,0.997347711892938,-9.81342849918552,35,32
60,Biased-prior,Cost-to-sample,-0.0459433749820074,1,NaN,NaN,NaN,2,0
60,Cost-to-sample,Cost-to-sample,-0.00377520751935635,1,NaN,NaN,NaN,2,0
61,Biased-prior,Cost-to-sample,0.00597884912486138,0.882847785800455,-0.00378944977408454,0.993442158094756,-55.473910236377,18,15
61,Cost-to-sample,Cost-to-sample,-0.0117597472967708,0.685810899214719,-0.0110396228159253,0.981837885163646,-59.035258347226,18,15
62,Biased-prior,Biased-prior,0.0124436429515131,0.677679553744856,-0.00286669252584118,0.856848417815669,-8.40227931669406,35,32
62,Cost-to-sample,Biased-prior,-0.204246027211969,0.995967574953383,-0.00569321642266752,0.998674954580014,-9.39802170184803,35,32
63,Biased-prior,Cost-to-sample,-0.0608565803086595,0.931875981862744,-0.009944189205726,0.995542814147913,-14.1714742660145,5,5
63,Cost-to-sample,Cost-to-sample,-0.00358003693707249,0.487891146585209,-0.000305461526391308,0.633918022728847,-1.88782745541453,5,5
64,Biased-prior,Cost-to-sample,0.00974733067571796,0.779929115116877,-0.00178504316636971,0.920789285082273,-11.8690063173848,33,32
64,Cost-to-sample,Cost-to-sample,-0.305275458766295,0.999578229530918,-0.00123864796651646,0.999818717135837,-9.59099206175668,33,32
