Subject,Model,BestFitModel,Position,MeanThreshold,NObs
24,Biased-prior,Biased-prior,7,0.568599579833769,40
24,Cost-to-sample,Biased-prior,1,1.13608260382759,40
24,Cost-to-sample,Biased-prior,2,1.07703546715718,40
24,Cost-to-sample,Biased-prior,3,1.00978457768523,40
24,Cost-to-sample,Biased-prior,4,0.934563815364071,40
24,Cost-to-sample,Biased-prior,5,0.843319385396827,40
24,Cost-to-sample,Biased-prior,6,0.726381941513738,40
24,Cost-to-sample,Biased-prior,7,0.57396433349893,40
25,Biased-prior,Biased-prior,1,0.598265789576795,40
25,Biased-prior,Biased-prior,2,0.485610008860216,40
25,Biased-prior,Biased-prior,3,0.38675349042384,40
25,Biased-prior,Biased-prior,4,0.295295589605387,40
25,Biased-prior,Biased-prior,5,0.198788456832118,40
25,Biased-prior,Biased-prior,6,0.104610733343825,40
25,Biased-prior,Biased-prior,7,0,40
25,Cost-to-sample,Biased-prior,1,-0.0153053425559898,40
25,Cost-to-sample,Biased-prior,2,-0.0136364627539039,40
25,Cost-to-sample,Biased-prior,3,-0.0108854028053467,40
25,Cost-to-sample,Biased-prior,4,-0.0102065865747253,40
25,Cost-to-sample,Biased-prior,5,-0.0119909350118583,40
25,Cost-to-sample,Biased-prior,6,-0.0259072720271446,40
25,Cost-to-sample,Biased-prior,7,-0.0315189495688674,40
26,Biased-prior,Cost-to-sample,1,0.74164211515458,40
26,Biased-prior,Cost-to-sample,2,0.758277552575762,40
26,Biased-prior,Cost-to-sample,3,0.77606912167139,40
26,Biased-prior,Cost-to-sample,4,0.795336553982867,40
26,Biased-prior,Cost-to-sample,5,0.817386941341873,40
26,Biased-prior,Cost-to-sample,6,0.818115407071775,40
26,Biased-prior,Cost-to-sample,7,0.741327597686166,40
26,Cost-to-sample,Cost-to-sample,1,226.397540282215,40
26,Cost-to-sample,Cost-to-sample,2,194.113097453526,40
26,Cost-to-sample,Cost-to-sample,3,161.836819914612,40
26,Cost-to-sample,Cost-to-sample,4,129.549703330101,40
26,Cost-to-sample,Cost-to-sample,5,97.2726549268518,40
26,Cost-to-sample,Cost-to-sample,6,64.9802540334059,40
26,Cost-to-sample,Cost-to-sample,7,32.6931829431179,40
27,Biased-prior,Biased-prior,1,0.832864577912383,40
27,Biased-prior,Biased-prior,2,0.847465626560881,40
27,Biased-prior,Biased-prior,3,0.862182639352996,40
27,Biased-prior,Biased-prior,4,0.879721509250011,40
27,Biased-prior,Biased-prior,5,0.898623287550234,40
27,Biased-prior,Biased-prior,6,0.917454153264846,40
