Subject,Sequence,Model,BestFitModel,NPoints,LinearSlope,LinearR2,LinearBIC,QuadTerm,QuadR2,QuadBIC,DeltaBIC_QuadMinusLinear
2,36,Biased-prior,Biased-prior,3,-0.0637807110783718,0.610169254847737,-16.8770687407453,-0.0883004400365026,1,-108.130960167351,-91.2538914266061
2,36,Cost-to-sample,Biased-prior,3,-0.0622191803005085,0.659736549260864,-17.6680837624543,-0.0773939996796507,1,-108.130960167351,-90.4628764048972
2,37,Biased-prior,Biased-prior,4,-0.0189824238949593,0.941024072767884,-39.1281288563115,-0.00531183693656023,0.999973128771334,-68.5171484100389,-29.3890195537274
2,37,Cost-to-sample,Biased-prior,4,-0.0256739529678172,0.949599799951135,-37.3772454596105,-0.00619628701970213,0.993849280019946,-44.4046550960874,-7.02740963647692
2,38,Biased-prior,Biased-prior,4,-0.0254967846829108,0.761577737904856,-30.3338562385953,-0.0158407716583479,0.996749981316891,-46.1290921459915,-15.7952359073962
2,38,Cost-to-sample,Biased-prior,4,-0.031485537554187,0.848576675858452,-30.8945770288566,-0.014288862004468,0.988391794859511,-39.7817514589053,-8.88717443004873
2,39,Biased-prior,Biased-prior,7,-0.0343869309342719,0.881504689904974,-47.6325195725142,-0.00699188121776675,0.990836649579315,-63.604239953382,-15.9717203808678
2,39,Cost-to-sample,Biased-prior,7,-0.0372401329546172,0.923899074068041,-49.9450716078697,-0.00581129279851328,0.991393647392206,-63.2560802422228,-13.3110086343531
2,40,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,40,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1,Biased-prior,Biased-prior,3,0.0107886468503969,0.947673821860718,-34.8842770071438,-0.00439094169541898,1,-108.130960167351,-73.2466831602077
3,1,Cost-to-sample,Biased-prior,3,-0.159942803656647,0.993392422698119,-25.0555309011954,-0.022593631268408,1,-108.130960167351,-83.0754292661561
3,2,Biased-prior,Biased-prior,7,-0.00746633294266748,0.140611371691324,-42.2954877606248,-0.0093172029131104,0.797509618199323,-50.468279568477,-8.17279180785219
3,2,Cost-to-sample,Biased-prior,7,-0.177129564841809,0.998659923782551,-56.9321671973187,-0.00144627041161143,0.998859659515672,-56.1160542675971,0.816112929721598
3,3,Biased-prior,Biased-prior,7,0.00681456516952812,0.261531728913489,-48.9796637785892,-0.00480931666800108,0.652315112779106,-52.3067245773656,-3.32706079877634
